Date,Open,High,Low,Close,Volume,Adj Close
2008-04-30,27.17,27.78,26.76,27.41,31034100,27.41
2008-04-29,26.35,27.48,25.81,27.36,36678000,27.36
2008-04-28,27.00,27.09,26.25,26.43,20869300,26.43
2008-04-25,26.85,26.93,26.08,26.80,50523100,26.80
2008-04-24,28.01,28.08,27.24,27.30,25944000,27.30
2008-04-23,28.24,28.35,27.71,28.08,31134400,28.08
2008-04-22,28.73,28.88,28.44,28.54,28564000,28.54
2008-04-21,28.52,28.68,28.22,28.55,18368700,28.55
2008-04-18,28.44,28.67,28.17,28.43,25292200,28.43
2008-04-17,28.40,28.40,27.96,28.03,10848800,28.03
2008-04-16,28.11,28.40,28.11,28.31,9204900,28.31
2008-04-15,28.05,28.25,27.77,28.17,12096600,28.17
2008-04-14,28.18,28.34,27.79,27.80,14159500,27.80
2008-04-11,28.41,28.61,28.09,28.34,18433700,28.34
2008-04-10,28.39,28.69,28.28,28.59,32671200,28.59
2008-04-09,27.80,27.95,27.13,27.77,31768300,27.77
2008-04-08,27.72,27.82,27.49,27.70,17935600,27.70
2008-04-07,27.80,28.15,27.57,27.70,29455100,27.70
2008-04-04,28.00,28.45,27.59,28.36,28290700,28.36
2008-04-03,27.65,28.22,27.58,28.13,14535400,28.13
2008-04-02,28.57,28.60,27.49,27.82,30180400,27.82
2008-04-01,28.07,28.62,28.02,28.50,20483600,28.50
2008-03-31,28.56,29.12,28.27,28.93,17224600,28.93
2008-03-28,28.32,29.09,28.15,28.99,34274200,28.99
2008-03-27,28.49,28.50,27.90,28.09,15558400,28.09
2008-03-26,28.63,28.78,28.19,28.49,15271500,28.49
2008-03-25,28.14,28.75,27.70,28.73,33759600,28.73
2008-03-24,27.56,28.07,27.45,27.52,17360800,27.52
2008-03-20,27.36,27.91,26.98,27.66,29864500,27.66
2008-03-19,27.56,27.79,26.91,27.07,23317500,27.07
2008-03-18,26.94,27.72,26.25,27.66,38074400,27.66
2008-03-17,26.50,26.64,25.72,25.85,33771900,25.85
2008-03-14,27.85,27.96,26.50,26.71,44386000,26.71
2008-03-13,28.07,28.27,27.38,27.50,75429000,27.50
2008-03-12,28.89,29.02,28.39,28.45,18338300,28.45
2008-03-11,28.91,29.16,28.43,29.00,22077400,29.00
2008-03-10,28.87,28.98,28.51,28.51,29698500,28.51
2008-03-07,28.58,29.18,28.50,29.03,28266000,29.03
2008-03-06,28.64,28.98,28.44,28.70,34591000,28.70
2008-03-05,28.00,28.78,28.00,28.67,30280100,28.67
2008-03-04,27.80,28.07,27.43,28.06,28305000,28.06
2008-03-03,27.73,28.08,27.66,27.77,22765100,27.77
2008-02-29,27.94,28.41,27.50,27.78,23860500,27.78
2008-02-28,27.98,28.82,27.96,28.15,30113200,28.15
2008-02-27,28.33,28.49,27.75,28.37,27664100,28.37
2008-02-26,27.93,28.55,27.81,28.22,26013000,28.22
2008-02-25,28.42,28.57,27.75,28.13,32470600,28.13
2008-02-22,28.36,28.64,27.98,28.42,26157800,28.42
2008-02-21,28.76,29.17,28.25,28.42,34681900,28.42
2008-02-20,28.71,29.04,28.39,28.83,29338800,28.83
2008-02-19,29.34,29.42,28.75,29.01,38679600,29.01
2008-02-15,29.95,30.15,29.43,29.66,40125200,29.66
2008-02-14,29.98,30.25,29.75,29.98,38045600,29.98
2008-02-13,29.78,30.07,29.60,29.88,57047700,29.88
2008-02-12,29.81,29.84,29.40,29.57,42445600,29.57
2008-02-11,29.89,30.05,29.32,29.87,67253700,29.87
2008-02-08,28.98,29.22,28.71,29.20,55618900,29.20
2008-02-07,28.63,29.19,28.60,29.04,44248800,29.04
2008-02-06,29.11,29.33,28.53,28.57,55648800,28.57
2008-02-05,28.78,29.57,28.75,28.98,68583700,28.98
2008-02-04,28.33,29.50,28.33,29.33,144814000,29.33
2008-02-01,28.68,29.83,27.34,28.38,438248800,28.38
2008-01-31,18.87,19.35,18.72,19.18,41449800,19.18
2008-01-30,18.62,20.81,18.58,19.05,115993300,19.05
2008-01-29,20.87,20.90,20.05,20.81,79230000,20.81
2008-01-28,21.56,21.90,20.42,20.78,32473100,20.78
2008-01-25,22.24,22.37,21.32,21.94,28386800,21.94
2008-01-24,20.44,21.75,20.42,21.69,39823300,21.69
2008-01-23,19.25,20.34,18.72,20.01,42064200,20.01
2008-01-22,19.29,21.03,19.26,19.86,38126200,19.86
2008-01-18,21.27,21.61,20.07,20.78,41239300,20.78
2008-01-17,22.00,22.17,21.14,21.22,28812600,21.22
2008-01-16,22.20,22.75,21.73,21.95,38155300,21.95
2008-01-15,23.00,23.49,22.57,22.91,31911000,22.91
2008-01-14,23.51,23.76,23.18,23.70,18552900,23.70
2008-01-11,23.81,24.13,22.98,23.36,27297400,23.36
2008-01-10,23.19,24.57,22.83,24.09,52342100,24.09
2008-01-09,22.47,22.80,21.37,22.56,46662700,22.56
2008-01-08,23.28,23.65,22.50,22.61,22974000,22.61
2008-01-07,23.12,23.56,22.73,23.18,24769400,23.18
2008-01-04,23.81,23.81,23.10,23.16,20745800,23.16
2008-01-03,23.86,24.19,23.70,23.84,20179700,23.84
2008-01-02,23.80,24.15,23.60,23.72,25671700,23.72
